Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
null	String	Binding	silentgear:string		Fiber, Basic, Organic		Flexible I			+5%																				
null	Fluffy String	Binding	silentgear:fluffy_string		Fiber, Basic, Organic		Flexible III		+5%							-5%														
null	Vine	Binding	silentgear:vine		Basic, Organic					+3%																				
null	Fine Silk	Binding	silentgear:fine_silk		Fiber, Basic, Organic		Lucky I, Flexible IV																						+2	
null	Sinew	Binding	silentgear:sinew		Fiber, Basic, Organic		Flexible IV			-5%																				
null	Flax	Binding	silentgear:flax		Fiber, Basic, Organic		Flexible III		+5%							+5%														
null	Example	Binding	silentgear:example		Intangible																									
null	Gold	Coating	silentgear:gold		Intermediate, Metal		Brilliant, Soft III*	x0.9	x0.9					+10																
null	Netherite	Coating	silentgear:netherite		Endgame, Metal		Fireproof	+2, x1.3	x1.12			+5			netherite (4)	x1.13		x1.33			x1.33	x1.33					+4	+1		
null	Prismarine	Coating	silentgear:prismarine		Organic, Advanced, Gem		Aquatic V*, Aquatic III*	x1.08	x1.13																		+1	+0.25		
null	Blaze Gold	Coating	silentgear:blaze_gold		Advanced, Metal		Brilliant, Soft II*	x0.95	x0.95					+20																
null	Example	Coating	silentgear:example		Intangible																									
null	String	Cord	silentgear:string		Fiber, Basic, Organic																		+10%							
null	Fluffy String	Cord	silentgear:fluffy_string		Fiber, Basic, Organic																	+5%	-5%							
null	Vine	Cord	silentgear:vine		Basic, Organic																	-10%								
null	Fine Silk	Cord	silentgear:fine_silk		Fiber, Basic, Organic		Flexible II															+7%								
null	Sinew	Cord	silentgear:sinew		Fiber, Basic, Organic		Flexible II															+20%								
null	Flax	Cord	silentgear:flax		Fiber, Basic, Organic																	-10%	+20%							
null	Example	Cord	silentgear:example		Intangible																									
null	Paper	Fletching	silentgear:paper		Basic, Organic, Sheet																			1.1x	90%					
null	Feather	Fletching	silentgear:feather		Basic, Organic																			0.9x	110%					
null	Leaf	Fletching	silentgear:leaves		Basic, Organic																			1.1x	90%					
null	Example	Fletching	silentgear:example		Intangible																									
null	Pink Wool	Grip	silentgear:wool/pink	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Magenta Wool	Grip	silentgear:wool/magenta	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Leather	Grip	silentgear:leather		Basic, Organic, Cloth		Flexible III			+10%						+15%			+0.15											
null	Light Gray Wool	Grip	silentgear:wool/light_gray	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Light Blue Wool	Grip	silentgear:wool/light_blue	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Blue Wool	Grip	silentgear:wool/blue	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Gray Wool	Grip	silentgear:wool/gray	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Wool	Grip	silentgear:wool		Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Purple Wool	Grip	silentgear:wool/purple	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Red Wool	Grip	silentgear:wool/red	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Fine Silk Cloth	Grip	silentgear:fine_silk_cloth		Organic, Cloth, Intermediate		Accelerate I*			+10%						+15%														
null	Orange Wool	Grip	silentgear:wool/orange	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Lime Wool	Grip	silentgear:wool/lime	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Yellow Wool	Grip	silentgear:wool/yellow	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Green Wool	Grip	silentgear:wool/green	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	White Wool	Grip	silentgear:wool/white	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Brown Wool	Grip	silentgear:wool/brown	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Phantom Membrane	Grip	silentgear:phantom_membrane		Organic, Cloth, Intermediate		Ancient II*			+15%						+10%			+0.2											
null	Black Wool	Grip	silentgear:wool/black	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Example	Grip	silentgear:example		Intangible																									
null	Cyan Wool	Grip	silentgear:wool/cyan	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
null	Lapis Lazuli	Jewelry Setting	silentgear:lapis_lazuli		Gem, Intermediate		Lucky III*																							
null	Quartz	Jewelry Setting	silentgear:quartz		Gem, Intermediate		Mighty II*																							
null	Dimerald	Jewelry Setting	silentgear:dimerald		Advanced, Gem		Kitty Vision*																							
null	Amethyst	Jewelry Setting	silentgear:amethyst		Gem, Intermediate		Cursed IV																							
null	Diamond	Jewelry Setting	silentgear:diamond		Advanced, Gem		Bastion I*																							
null	Flint	Jewelry Setting	silentgear:flint		Basic, Rock																									
null	Emerald	Jewelry Setting	silentgear:emerald		Advanced, Gem		Reach II																							
null	Prismarine	Jewelry Setting	silentgear:prismarine		Organic, Advanced, Gem		Swift Swim III*																							
null	Example	Jewelry Setting	silentgear:example		Intangible																									
null	Pink Wool	Lining	silentgear:wool/pink	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Magenta Wool	Lining	silentgear:wool/magenta	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Leather	Lining	silentgear:leather		Basic, Organic, Cloth		Flexible IV																							
null	Light Gray Wool	Lining	silentgear:wool/light_gray	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Light Blue Wool	Lining	silentgear:wool/light_blue	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Blue Wool	Lining	silentgear:wool/blue	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Slime	Lining	silentgear:slime		Organic, Intermediate, Slime		Bounce*																				+0.5			
null	Gray Wool	Lining	silentgear:wool/gray	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Wool	Lining	silentgear:wool		Basic, Organic, Cloth		Flexible II																					+0.1		
null	Purple Wool	Lining	silentgear:wool/purple	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Red Wool	Lining	silentgear:wool/red	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Fine Silk Cloth	Lining	silentgear:fine_silk_cloth		Organic, Cloth, Intermediate		Flexible IV																						+2	
null	Orange Wool	Lining	silentgear:wool/orange	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Lime Wool	Lining	silentgear:wool/lime	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
null	Yellow Wool	Lining	silentgear:wool/yellow	Wool	Basic, Organic, Cloth		Flexible II																					+0.1		
