Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
mod/silentgear	String	Binding	silentgear:string		Fiber, Basic, Organic		Flexible I			+5%																				
mod/silentgear	Fluffy String	Binding	silentgear:fluffy_string		Fiber, Basic, Organic		Flexible III		+5%							-5%														
mod/silentgear	Vine	Binding	silentgear:vine		Basic, Organic					+3%																				
mod/silentgear	Fine Silk	Binding	silentgear:fine_silk		Fiber, Basic, Organic		Lucky I, Flexible IV																						+2	
mod/silentgear	Sinew	Binding	silentgear:sinew		Fiber, Basic, Organic		Flexible IV			-5%																				
mod/silentgear	Flax	Binding	silentgear:flax		Fiber, Basic, Organic		Flexible III		+5%							+5%														
mod/silentgear	Example	Binding	silentgear:example		Intangible																									
mod/silentgear	Golden (Gold)	Coating	silentgear:gold		Intermediate, Metal		Brilliant, Soft III*	x0.9	x0.9					+10																
mod/silentgear	Netherite	Coating	silentgear:netherite		Endgame, Metal		Fireproof	+2, x1.3	x1.12			+5			netherite (4)	x1.13		x1.33			x1.33	x1.33					+4	+1		
mod/silentgear	Prismarine	Coating	silentgear:prismarine		Advanced, Organic, Gem		Aquatic V*, Aquatic III*	x1.08	x1.13																		+1	+0.25		
mod/silentgear	Blaze Gold	Coating	silentgear:blaze_gold		Advanced, Metal		Brilliant, Soft II*	x0.95	x0.95					+20																
mod/silentgear	Example	Coating	silentgear:example		Intangible																									
mod/silentgear	String	Cord	silentgear:string		Fiber, Basic, Organic																		+10%							
mod/silentgear	Fluffy String	Cord	silentgear:fluffy_string		Fiber, Basic, Organic																	+5%	-5%							
mod/silentgear	Vine	Cord	silentgear:vine		Basic, Organic																	-10%								
mod/silentgear	Fine Silk	Cord	silentgear:fine_silk		Fiber, Basic, Organic		Flexible II															+7%								
mod/silentgear	Sinew	Cord	silentgear:sinew		Fiber, Basic, Organic		Flexible II															+20%								
mod/silentgear	Flax	Cord	silentgear:flax		Fiber, Basic, Organic																	-10%	+20%							
mod/silentgear	Example	Cord	silentgear:example		Intangible																									
mod/silentgear	Paper	Fletching	silentgear:paper		Basic, Organic, Sheet																			1.1x	90%					
mod/silentgear	Feather	Fletching	silentgear:feather		Basic, Organic																			0.9x	110%					
mod/silentgear	Leaf (Leaves)	Fletching	silentgear:leaves		Basic, Organic																			1.1x	90%					
mod/silentgear	Example	Fletching	silentgear:example		Intangible																									
mod/silentgear	Pink Wool	Grip	silentgear:wool/pink	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Magenta Wool	Grip	silentgear:wool/magenta	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Leather	Grip	silentgear:leather		Basic, Organic, Cloth		Flexible III			+10%						+15%			+0.15											
mod/silentgear	Light Gray Wool	Grip	silentgear:wool/light_gray	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Light Blue Wool	Grip	silentgear:wool/light_blue	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Blue Wool	Grip	silentgear:wool/blue	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Gray Wool	Grip	silentgear:wool/gray	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Wool	Grip	silentgear:wool		Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Purple Wool	Grip	silentgear:wool/purple	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Red Wool	Grip	silentgear:wool/red	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Fine Silk Cloth	Grip	silentgear:fine_silk_cloth		Intermediate, Organic, Cloth		Accelerate I*			+10%						+15%														
mod/silentgear	Orange Wool	Grip	silentgear:wool/orange	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Lime Wool	Grip	silentgear:wool/lime	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Yellow Wool	Grip	silentgear:wool/yellow	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
mod/silentgear	Green Wool	Grip	silentgear:wool/green	Wool	Basic, Organic, Cloth		Flexible II			+20%						+10%			+0.2											
